threshold,accuracy,macro_f1,weighted_f1,kirmizi_recall,unsafe_not_green_as_green,unsafe_rate,escalated_green_count
0.0,0.7924107142857143,0.790717566141295,0.7917834258822456,0.8151260504201681,32,0.11895910780669144,0
0.5,0.7857142857142857,0.7858139802944804,0.7862624996330811,0.8151260504201681,29,0.10780669144981413,8
0.55,0.7879464285714286,0.7897550462352355,0.7899963878704879,0.8151260504201681,22,0.08178438661710037,21
0.6,0.7857142857142857,0.7889735876121269,0.7886475440236111,0.8151260504201681,17,0.06319702602230483,32
0.65,0.7834821428571429,0.7878553891620061,0.7869218099300309,0.8151260504201681,12,0.04460966542750929,43
0.7,0.7700892857142857,0.7763768908328776,0.7739115099976568,0.8151260504201681,9,0.03345724907063197,54
0.75,0.7633928571428571,0.7704869901842177,0.7669380674193726,0.8151260504201681,6,0.022304832713754646,63
0.8,0.7276785714285714,0.7369452236972279,0.7285045933558312,0.8151260504201681,4,0.01486988847583643,83
0.85,0.6875,0.695422698378748,0.6804343645749861,0.8151260504201681,1,0.0037174721189591076,107
